id,category,expression,expected,notes
1,deep_nesting,"sp.exp(sp.exp(sp.exp(x)))",ELEMENTARY,three-level exp tower
2,deep_nesting,"sp.exp(sp.exp(sp.exp(sp.exp(x))))",ELEMENTARY,four-level exp tower
3,deep_nesting,"sp.exp(sp.exp(sp.exp(sp.exp(sp.exp(x)))))",ELEMENTARY,five-level exp tower
4,deep_nesting,"sp.log(sp.log(sp.log(sp.log(x))))",ELEMENTARY,four nested logs
5,deep_nesting,"sp.sin(sp.sin(sp.sin(sp.sin(x))))",ELEMENTARY,four nested sins; oscillation count compounds
6,deep_nesting,"sp.exp(sp.log(sp.exp(sp.log(x))))",ELEMENTARY,exp/log alternation; should auto-simplify to x
7,deep_nesting,"sp.cos(sp.sin(sp.cos(sp.sin(sp.cos(x)))))",ELEMENTARY,oscillation chain
8,deep_nesting,"sp.sqrt(sp.sqrt(sp.sqrt(sp.sqrt(x))))",ELEMENTARY,fourth-root via repeated sqrt
9,deep_nesting,"sp.tan(sp.tan(sp.tan(x)))",ELEMENTARY,nested tan
10,deep_nesting,"sp.exp(sp.exp(sp.exp(sp.exp(sp.exp(sp.exp(x))))))",ELEMENTARY,six-level exp tower; depth stress
11,mixed_pne_elementary,"sp.exp(sp.besselj(0, x))",PNE,elementary wrapping Bessel
12,mixed_pne_elementary,"sp.sin(sp.gamma(x))",PNE,sin of gamma
13,mixed_pne_elementary,"sp.log(sp.zeta(x + 2))",PNE,log of zeta with offset to keep finite
14,mixed_pne_elementary,"sp.sqrt(sp.erfinv(x / 2))",PNE,sqrt of inverse erf
15,mixed_pne_elementary,"sp.exp(sp.LambertW(x))",PNE,exp of Lambert W
16,mixed_pne_elementary,"sp.exp(sp.harmonic(x))",PNE,exp of harmonic numbers
17,mixed_pne_elementary,"sp.log(sp.elliptic_k(x / 2))",PNE,log of elliptic K
18,mixed_pne_elementary,"sp.tan(sp.polygamma(1, x))",PNE,tan of trigamma
19,mixed_pne_elementary,"sp.sin(sp.factorial(x))",PNE,sin of factorial (gamma extension)
20,mixed_pne_elementary,"sp.cos(sp.dirichlet_eta(x + 2))",PNE,cos of dirichlet eta
21,auto_eval_traps,"sp.lowergamma(2, x)",ELEMENTARY,SymPy expands to 1 - (x+1)*exp(-x)
22,auto_eval_traps,"sp.uppergamma(3, x)",ELEMENTARY,SymPy expands to elementary closed form
23,auto_eval_traps,"sp.factorial(5)",ELEMENTARY,evaluates to 120
24,auto_eval_traps,"sp.RisingFactorial(x, 3)",ELEMENTARY,evaluates to polynomial x*(x+1)*(x+2)
25,auto_eval_traps,"sp.FallingFactorial(x, 4)",ELEMENTARY,evaluates to polynomial x*(x-1)*(x-2)*(x-3)
26,auto_eval_traps,"sp.polylog(0, x)",ELEMENTARY,polylog(0 x) = x/(1-x) — rational
