domain,name,expr,cost_class,r,degree,width,c_osc,c_composite,delta_fused,is_pfaffian_not_eml,source
avian,UV cone Gaussian S_uv(lam),exp(-(lam - mu_uv)**2/(2*sigma_uv**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,v3
avian,olfactory exp-decay receptor,c_conc*exp(-d*k_decay),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
avian,UV-odor multiplicative integration,c_conc*exp(-d*k_decay)*exp(-(lam - mu_uv)**2/(2*sigma_uv**2)),p1-d6-w2-c0,1,6,2,0,0,0,0,v3
avian,tetrachromatic green cone Gaussian,exp(-(lam - mu_g)**2/(2*sigma_g**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,v3
avian,tetrachromatic red cone Gaussian,exp(-(lam - mu_r)**2/(2*sigma_r**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,v3
avian,magnetoreception cryptochrome,intensity*exp(-k_decay*t)*cos(theta),p2-d4-w2-c1,2,4,2,1,0,0,0,v3
human-syn,sound-taste sigmoid of log-freq,1/(1 + exp(freq_pivot)/freq),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
human-syn,lexical-gustatory phoneme-taste sigmoid,1/(1 + exp(-amp*sin(2*pi*freq*t))),p3-d6-w1-c1,3,6,1,1,0,1,0,v3
human-syn,spatial-sequence number-line distance,exp(-d*k_decay)*Abs(x - y),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
human-syn,mirror-touch synesthesia,intensity*exp(-d*k_decay)*cos(omega*t),p2-d5-w2-c1,2,5,2,1,0,0,0,v3
bat,echo distance c*dt/2,c_sound*delta_t/2,p0-d1-w0-c0,0,1,0,0,0,0,0,v3
bat,Doppler return-frequency ratio,freq*(c_sound + v_speed)/(c_sound - v_speed),p0-d4-w0-c0,0,4,0,0,0,0,0,v3
bat,sonar-smell integration v*exp(-k*d),v_speed*exp(-d*k_decay),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
bat,constant-frequency echo intensity,intensity*exp(-alpha_w*d)/d**2,p1-d3-w1-c0,1,3,1,0,0,0,0,v3
bat,FM chirp call frequency sweep,freq*(alpha_w*t + 1),p0-d3-w0-c0,0,3,0,0,0,0,0,v3
ai-multi,embedding cosine similarity,dot_xy/(sqrt(norm_x)*sqrt(norm_y)),p1-d2-w2-c0,1,2,2,0,0,0,0,v3
ai-multi,adapter-gated fusion (linear),adapter + text_emb/(1 + exp(-emb_dim)),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
ai-multi,attention softmax over keys (toy),exp(dot_xy)/(exp(dot_xy) + exp(norm_x)),p1-d2-w2-c0,1,2,2,0,0,0,0,v3
ai-multi,LayerNorm (toy),(-mu_x_old + x)/sqrt(eps_old + sigma_g**2),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
ai-multi,GELU (toy),x*(erf(sqrt(2)*x/2) + 1)/2,p3-d5-w1-c0,3,5,1,0,0,0,1,v3
ai-multi,RMSNorm (toy),x/sqrt(eps2 + ms),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
plant,phototropin Lambertian I*cos(theta),intensity*cos(theta),p2-d4-w1-c1,2,4,1,1,0,0,0,v3
plant,green-leaf volatile release (saturating),V_max*(1 - exp(-alpha_w*intensity)),p1-d5-w1-c0,1,5,1,0,0,0,0,v3
plant,circadian clock cosine entrainment,intensity*cos(pi*t/12),p2-d5-w1-c1,2,5,1,1,0,0,0,v3
